File Name	Input	Output	Count
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	HTH_3	16
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	HTH_31	65
Actinomadura_parvosata_subsp_kistnaeATCC_55076	FCD	GntR	35
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	GntR	13
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	TetR_N	213
Actinomadura_parvosata_subsp_kistnaeATCC_55076	WYL	HTH_11	17
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	HTH_30	12
Actinomadura_parvosata_subsp_kistnaeATCC_55076	SBP_bac_5	Pkinase	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	Sigma70_r2	11
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	Sigma70_r3	10
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	Sigma70_r4	11
Actinomadura_parvosata_subsp_kistnaeATCC_55076	GAF	SpoIIE	11
Actinomadura_parvosata_subsp_kistnaeATCC_55076	PAS	SpoIIE	12
Actinomadura_parvosata_subsp_kistnaeATCC_55076	Peripla_BP_3	LacI	72
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	HxlR	25
Actinomadura_parvosata_subsp_kistnaeATCC_55076	Peptidase_S24	LexA_DNA_bind	2
Actinomadura_parvosata_subsp_kistnaeATCC_55076	DJ-1_PfpI	HTH_18	15
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	MarR	27
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	Pkinase	74
Actinomadura_parvosata_subsp_kistnaeATCC_55076	Acetyltransf_1	MarR_2	2
Actinomadura_parvosata_subsp_kistnaeATCC_55076	TetR_C	TetR_N	32
Actinomadura_parvosata_subsp_kistnaeATCC_55076	Aminotran_1_2	GntR	11
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	HTH_18	22
Actinomadura_parvosata_subsp_kistnaeATCC_55076	DeoRC	HTH_DeoR	11
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	SpoIIE	12
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	GGDEF	2
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	PadR	36
Actinomadura_parvosata_subsp_kistnaeATCC_55076	UTRA	GntR	15
Actinomadura_parvosata_subsp_kistnaeATCC_55076	TetR_C_11	TetR_N	25
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	MerR_1	32
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	MarR_2	58
Actinomadura_parvosata_subsp_kistnaeATCC_55076	WHG	TetR_N	14
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	Rrf2	5
Actinomadura_parvosata_subsp_kistnaeATCC_55076	BTAD	Trans_reg_C	33
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	GerE	48
Actinomadura_parvosata_subsp_kistnaeATCC_55076	Pyridox_ox_2	HTH_31	3
Actinomadura_parvosata_subsp_kistnaeATCC_55076	TetR_C_6	TetR_N	15
Actinomadura_parvosata_subsp_kistnaeATCC_55076	ParBc	HTH_24	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	TPR_12	GerE	2
Actinomadura_parvosata_subsp_kistnaeATCC_55076	LysR_substrate	HTH_1	52
Actinomadura_parvosata_subsp_kistnaeATCC_55076	IclR	HTH_IclR	19
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	Vir_act_alpha_C	5
Actinomadura_parvosata_subsp_kistnaeATCC_55076	PucR	HTH_30	7
Actinomadura_parvosata_subsp_kistnaeATCC_55076	PAS	EAL	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	PAS	GGDEF	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	EAL	2
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	MerR	8
Actinomadura_parvosata_subsp_kistnaeATCC_55076	PD40	Pkinase	2
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	HTH_27	6
Actinomadura_parvosata_subsp_kistnaeATCC_55076	SIS	HTH_6	8
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	HTH_20	42
Actinomadura_parvosata_subsp_kistnaeATCC_55076	TetR_C_7	TetR_N	3
Actinomadura_parvosata_subsp_kistnaeATCC_55076	GAF	HTH_30	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	AsnC_trans_reg	HTH_24	7
Actinomadura_parvosata_subsp_kistnaeATCC_55076	TPR_12	Trans_reg_C	8
Actinomadura_parvosata_subsp_kistnaeATCC_55076	ROK	HTH_IclR	3
Actinomadura_parvosata_subsp_kistnaeATCC_55076	Sugar-bind	MarR_2	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	HTH_17	14
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	HTH_1	2
Actinomadura_parvosata_subsp_kistnaeATCC_55076	ROK	MarR_2	14
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	HD	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	PaaX_C	PaaX	8
Actinomadura_parvosata_subsp_kistnaeATCC_55076	Arabinose_bd	HTH_18	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	TetR_C_13	TetR_N	4
Actinomadura_parvosata_subsp_kistnaeATCC_55076	AsnC_trans_reg	HTH_AsnC-type	10
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	MerR-DNA-bind	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	HTH_IclR	2
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	Guanylate_cyc	4
Actinomadura_parvosata_subsp_kistnaeATCC_55076	cNMP_binding	HTH_Crp_2	5
Actinomadura_parvosata_subsp_kistnaeATCC_55076	CoA_binding	Put_DNA-bind_N	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	TipAS	MerR_1	4
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	FUR	3
Actinomadura_parvosata_subsp_kistnaeATCC_55076	None	HTH_5	17
Actinomadura_parvosata_subsp_kistnaeATCC_55076	TetR_C	GntR	2
Actinomadura_parvosata_subsp_kistnaeATCC_55076	Fe_dep_repr_C	Fe_dep_repress	1
Actinomadura_parvosata_subsp_kistnaeATCC_55076	FeoA	Fe_dep_repress	1
